sample_id,spp,mountain,site,treatment,experiment,source,none_live,em_tip_live,none_dead,em_tip_dead,em_colonization,vitality_index
KIL_FAGR_CH3,FAGR,KIL,H,CH3,net,C,63,38,4,2,37.38,94.39
KIL_FAGR_NH3,FAGR,KIL,H,NH3,net,N,153,115,6,5,43.01,96.06
KIL_FAGR_NM4,FAGR,KIL,M,NM4,net,N,43,28,6,6,40.96,85.54
KIL_FAGR_NM3,FAGR,KIL,M,NM3,net,N,46,35,6,5,43.48,88.04
KIL_FAGR_DM2,FAGR,KIL,M,DM2,net,D,56,40,6,5,42.06,89.72
KIL_FAGR_CM3,FAGR,KIL,M,CM3,net,C,50,42,3,2,45.36,94.85
KIL_FAGR_NH1,FAGR,KIL,H,NH1,net,N,45,41,5,5,47.92,89.58
KIL_FAGR_DM1,FAGR,KIL,M,DM1,net,D,46,44,2,4,50,93.75
KIL_FAGR_NH4,FAGR,KIL,H,NH4,net,N,94,89,5,6,48.97,94.33
KIL_FAGR_CM1,FAGR,KIL,M,CM1,net,C,38,26,1,2,41.79,95.52
KIL_FAGR_DH4,FAGR,KIL,H,DH4,net,D,108,58,7,5,35.39,93.26
KIL_FAGR_DH3,FAGR,KIL,H,DH3,net,D,126,98,7,10,44.81,92.95
KIL_FAGR_DH2,FAGR,KIL,H,DH2,net,D,98,66,6,8,41.57,92.13
KIL_FAGR_CH2,FAGR,KIL,H,CH2,net,C,84,113,4,6,57.49,95.17
KIL_FAGR_NM1,FAGR,KIL,M,NM1,net,N,72,43,3,4,38.52,94.26
KIL_FAGR_DM3,FAGR,KIL,M,DM3,net,D,85,93,4,9,53.4,93.19
KIL_FAGR_CH4,FAGR,KIL,H,CH4,net,C,112,123,2,4,52.7,97.51
JAY_FAGR_MH2,FAGR,JAY,H,MH2,trans,M,60,90,4,7,60.25,93.17
JAY_FAGR_MH3,FAGR,JAY,H,MH3,trans,M,112,151,12,17,57.53,90.07
JAY_FAGR_LH1,FAGR,JAY,H,LH1,trans,L,74,116,10,8,59.62,91.35
JAY_FAGR_MH1,FAGR,JAY,H,MH1,trans,M,111,108,5,6,49.57,95.22
JAY_FAGR_SCM3,FAGR,JAY,M,SCM3,trans,M,77,115,4,3,59.3,96.48
JAY_FAGR_LH2,FAGR,JAY,H,LH2,trans,L,60,103,2,4,63.31,96.45
ABE_FAGR_FCL2,FAGR,ABE,L,FCL2,trans,L,88,133,5,6,59.91,95.26
JAY_FAGR_SCH1,FAGR,JAY,H,SCH1,trans,H,105,87,6,4,45.05,95.05
JAY_FAGR_LH3,FAGR,JAY,H,LH3,trans,L,137,132,9,6,48.59,94.72
ABE_FAGR_HL2,FAGR,ABE,L,HL2,trans,H,66,80,2,1,54.36,97.99
ABE_FAGR_ML2,FAGR,ABE,L,ML2,trans,M,83,81,4,3,49.12,95.91
ABE_FAGR_MH1,FAGR,ABE,H,MH1,trans,M,63,61,1,1,49.21,98.41
ABE_FAGR_HM3,FAGR,ABE,M,HM3,trans,H,79,124,8,5,59.72,93.98
ABE_FAGR_ML3,FAGR,ABE,L,ML3,trans,M,45,45,0,0,50,100
MAN_FAGR_LM3,FAGR,MAN,M,LM3,trans,L,76,117,1,1,60.51,98.97
ABE_FAGR_SCH3,FAGR,ABE,H,SCH3,trans,H,131,104,3,3,44.4,97.51
MAN_FAGR_MH3,FAGR,MAN,H,MH3,trans,M,66,42,2,3,39.82,95.58
