sample_id,spp,mountain,site,treatment,block,experiment,treat,none,non_prop,arbuscules,arb_prop,vesicles,ves_prop,coils,coil_prop,hyphae,hyphae_prop,endo,endo_prop,total
JAY_ACSA_ML1,ACSA,JAY,L,ML1,1,trans,M,71,0.4104,15,0.0867,13,0.0751,4,0.0231,62,0.3584,8,0.0462,173
JAY_ACSA_SCL3,ACSA,JAY,L,SCL3,3,trans,L,108,0.5596,11,0.057,11,0.057,2,0.0104,57,0.2953,4,0.0207,193
JAY_ACSA_ML3,ACSA,JAY,L,ML3,3,trans,M,125,0.4529,21,0.0761,17,0.0616,5,0.0181,101,0.3659,8,0.029,276
JAY_ACSA_FCH1,ACSA,JAY,H,FCH1,1,trans,H,146,0.616,8,0.0338,11,0.0464,3,0.0127,65,0.2743,4,0.0169,237
JAY_ACSA_FCL3,ACSA,JAY,L,FCL3,3,trans,L,114,0.481,17,0.0717,13,0.0549,4,0.0169,76,0.3207,13,0.0549,237
JAY_ACSA_LH2,ACSA,JAY,H,LH2,2,trans,L,81,0.4197,20,0.1036,15,0.0777,5,0.0259,69,0.3575,5,0.0259,193
JAY_ACSA_LH1,ACSA,JAY,H,LH1,1,trans,L,126,0.4375,27,0.0938,24,0.0833,5,0.0174,101,0.3507,6,0.0208,288
MAN_ACSA_SCM1,ACSA,MAN,M,SCM1,1,trans,M,53,0.4046,15,0.1145,14,0.1069,1,0.0076,45,0.3435,3,0.0229,131
MAN_ACSA_FCM3,ACSA,MAN,M,FCM3,3,trans,M,77,0.399,17,0.0881,19,0.0984,5,0.0259,69,0.3575,6,0.0311,193
MAN_ACSA_SCM3,ACSA,MAN,M,SCM3,3,trans,M,144,0.5333,18,0.0667,22,0.0815,3,0.0111,73,0.2704,10,0.037,270
MAN_ACSA_LM1,ACSA,MAN,M,LM1,1,trans,L,58,0.3372,18,0.1047,22,0.1279,4,0.0233,57,0.3314,14,0.0814,172
MAN_ACSA_MH1,ACSA,MAN,H,MH1,1,trans,M,139,0.429,29,0.0895,35,0.108,11,0.034,105,0.3241,6,0.0185,324
MAN_ACSA_HM2,ACSA,MAN,M,HM2,2,trans,H,96,0.6316,5,0.0329,6,0.0395,4,0.0263,38,0.25,3,0.0197,152
MAN_ACSA_LH1,ACSA,MAN,H,LH1,1,trans,L,146,0.4534,26,0.0807,34,0.1056,8,0.0248,101,0.3137,7,0.0217,322
MAN_ACSA_FCM2,ACSA,MAN,M,FCM2,2,trans,M,125,0.6906,5,0.0276,5,0.0276,1,0.0055,38,0.2099,7,0.0387,181
MAN_ACSA_FCL1,ACSA,MAN,L,FCL1,1,trans,L,129,0.3686,35,0.1,37,0.1057,9,0.0257,132,0.3771,9,0.0257,350
